Seizure file	Match ID
HKG, 07-13, 2.0t	HKI167
HKG, 07-13, 2.0t	HKI168
HKG, 07-13, 2.0t	HKI172
HKG, 07-13, 2.0t	HKI181
HKG, 07-13, 2.0t	HKI183
HKG, 07-13, 2.0t	HKI184
HKG, 07-13, 2.0t	HKI185
HKG, 07-13, 2.0t	HKI188
HKG, 07-13, 2.0t	HKI189
HKG, 07-13, 2.0t	HKI196
TGO, 08-13, 0.7t	TG04
TGO, 08-13, 0.7t	TG06
TGO, 08-13, 0.7t	TG08-TG09
TGO, 08-13, 0.7t	TG11-TG39
TGO, 08-13, 0.7t	TG12-TG38
TGO, 08-13, 0.7t	TG15
TGO, 08-13, 0.7t	TG16
TGO, 08-13, 0.7t	TG17-TG33
TGO, 08-13, 0.7t	TG19-TG27
TGO, 08-13, 0.7t	TG21-TG30
TGO, 08-13, 0.7t	TG23-TG32
TGO, 08-13, 0.7t	TG24-TG31
TGO, 08-13, 0.7t	TG25-TG29
TGO, 08-13, 0.7t	TG28-TG37
TGO, 08-13, 0.7t	TG35
TGO, 08-13, 0.7t	TG41
TGO, 08-13, 0.7t	TG45
TGO, 08-13, 0.7t	TG51
TGO, 08-13, 0.7t	TG53
TGO, 08-13, 0.7t	TG59
TGO, 08-13, 0.7t	TG60
TGO, 08-13, 0.7t	TG62
TGO, 08-13, 0.7t	TG63
TGO, 08-13, 0.7t	TG64
TGO, 08-13, 0.7t	TG66
TGO, 08-13, 0.7t	TG68
PHL, 01-96, Xt	S1.001
PHL, 01-96, Xt	S1.002-S3.019
PHL, 01-96, Xt	S1.006-S1.017-S3.004-S3.015
PHL, 01-96, Xt	S1.007-S3.014
PHL, 01-96, Xt	S1.010-S3.011
PHL, 01-96, Xt	S1.014
PHL, 01-96, Xt	S1.019-S3.002
PHL, 02-97, 0.1t	S2.004
PHL, 02-97, 0.1t	S2.007
PHL, 02-97, 0.1t	S2.008
PHL, 02-97, 0.1t	S2.009
PHL, 03-05, 0.16t	S3.001
PHL, 03-05, 0.16t	S3.003
PHL, 03-05, 0.16t	S3.005
PHL, 03-05, 0.16t	S3.007
PHL, 03-05, 0.16t	S3.009
PHL, 03-05, 0.16t	S3.012
PHL, 03-05, 0.16t	S3.016
PHL, 03-05, 0.16t	S3.018
PHL, 03-05, 0.16t	S3.020
PHL, 03-05, 0.16t	S3.021-S4.046
PHL, 03-05, 0.16t	S3.022
PHL, 03-05, 0.16t	S3.023
PHL, 03-05, 0.16t	S3.024
PHL, 03-05, 0.16t	S3.025
PHL, 03-05, 0.16t	S3.026
PHL, 03-05, 0.16t	S3.027-S5.019
PHL, 04-05, 0.2t	S4.001
PHL, 04-05, 0.2t	S4.004
PHL, 04-05, 0.2t	S4.006
PHL, 04-05, 0.2t	S4.007
PHL, 04-05, 0.2t	S4.008-S4.018
PHL, 04-05, 0.2t	S4.009
PHL, 04-05, 0.2t	S4.010
PHL, 04-05, 0.2t	S4.011
PHL, 04-05, 0.2t	S4.016-S5.012
